Weather Forecast for Main Cities Date : 28-Jul-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,33,26,90,50,Mainly fair
Batticaloa,34,26,85,55,Mainly fair
Colombo,31,27,85,70,Several spells of showers
Galle,30,27,90,80,Several spells of showers
Jaffna,33,28,80,60,Mainly fair
Kandy,28,23,95,60,Showers at times
Nuwara-Eliya,19,14,95,65,Showers at times
Ratnapura,31,24,95,65,Showers at times
Trincomalee,37,26,80,50,Mainly fair
Mannar,31,28,90,80,Mainly fair
